Date,Username,User tag,Content,Mentions,link
"2024-08-04,22:54:59",demon_slayer_tanjiro_kamado,#0,نتا غي عس روحك ف اليل,yusef0898#0,
"2024-08-04,22:55:13",demon_slayer_tanjiro_kamado,#0,رادي نسرقلك الطوطة ديالك,yusef0898#0,
"2024-08-04,22:55:13",cha_wew.,#0,ليزوم,demon_slayer_tanjiro_kamado#0,
"2024-08-04,22:55:33",demon_slayer_tanjiro_kamado,#0,رادي تنوض ما تلقى والو,yusef0898#0,
"2024-08-04,22:55:46",demon_slayer_tanjiro_kamado,#0,ابليس و ما يسلككش مني يا و,yusef0898#0,
"2024-08-04,22:55:49",yusef0898,#0,متخافش انا الوسمو,demon_slayer_tanjiro_kamado#0,
"2024-08-04,22:55:51",4246780182,#0,اهدا,yusef0898#0,
"2024-08-04,22:56:29",demon_slayer_tanjiro_kamado,#0,رادي نخويك اليوم,yusef0898#0,
"2024-08-04,22:56:33",4246780182,#0,<:KEKYou:1150418200027201566>,yusef0898#0,
"2024-08-04,22:56:47",4246780182,#0,<:Dead_inside:1150410964659863592>,demon_slayer_tanjiro_kamado#0,
"2024-08-04,22:57:18",cha_wew.,#0,حبيبنا مختص عندي 10طواطي صغار,yusef0898#0,
"2024-08-04,22:57:30",cha_wew.,#0,سبعين مليون,,
"2024-08-04,22:57:41",yusef0898,#0,راك مخصوص,cha_wew.#0,
"2024-08-04,22:57:45",4246780182,#0,منين جاوك,cha_wew.#0,
"2024-08-04,22:57:48",demon_slayer_tanjiro_kamado,#0,يعطيك الصحة بديت تعرف لخدمة,cha_wew.#0,
"2024-08-04,22:57:52",4246780182,#0,متطيليش,,
"2024-08-04,22:57:55",demon_slayer_tanjiro_kamado,#0,من الطوطات,4246780182#0,
"2024-08-04,22:58:15",cha_wew.,#0,هو مانيش انا,yusef0898#0,
"2024-08-04,22:58:21",amirxlol_55368,#0,خوتي شكون يقدر يعطيني رول ميمر,,
"2024-08-04,22:58:27",cha_wew.,#0,سقسيه<@1264558495034769438>,4246780182#0、demon_slayer_tanjiro_kamado#0,
"2024-08-04,22:58:40",cha_wew.,#0,حل تيكت,amirxlol_55368#0,
"2024-08-04,22:59:12",4246780182,#0,<:emoji_104:1191547769664573450>,amirxlol_55368#0,
"2024-08-04,22:59:20",amirxlol_55368,#0,كفه نحلهم,,
"2024-08-04,22:59:24",yusef0898,#0,ديجا كيفاش دير رول ميم,,
"2024-08-04,22:59:26",cha_wew.,#0,وطاغي <@1214967653370691624> قولو راني قابل قوانين الميمر,jordyy.a3ttt#0,
"2024-08-04,22:59:32",4246780182,#0,نعرف,amirxlol_55368#0,
"2024-08-04,22:59:49",amirxlol_55368,#0,كفه,,
"2024-08-04,22:59:54",4246780182,#0,دور,,
"2024-08-04,23:00:01",cha_wew.,#0,روح لticket,amirxlol_55368#0,
"2024-08-04,23:00:10",amirxlol_55368,#0,اه,,
"2024-08-04,23:00:14",cha_wew.,#0,اطلع الفوق خلاص,,
"2024-08-04,23:00:25",amirxlol_55368,#0,نعم,,
"2024-08-04,23:00:28",cha_wew.,#0,لض creat ticket,,
"2024-08-04,23:01:16",cha_wew.,#0,مبعد طاغي <@1214967653370691624> قولو راني قابل قوانين الميمر,jordyy.a3ttt#0,
"2024-08-04,23:01:34",amirxlol_55368,#0,هكا نفتح رول ميمر,,
"2024-08-04,23:01:40",cha_wew.,#0,ايه,,
"2024-08-04,23:01:41",demon_slayer_tanjiro_kamado,#0,راني جبدته <:cum:1152013788653031434>,,
"2024-08-04,23:01:52",amirxlol_55368,#0,صح,,
"2024-08-04,23:02:13",cha_wew.,#0,القوانين تلقاهم في GET-MEMER-EDITER,amirxlol_55368#0,
"2024-08-04,23:02:44",cha_wew.,#0,<@1245055891363856435> فهمت,amirxlol_55368#0,
"2024-08-04,23:02:51",cha_wew.,#0,؟,,
"2024-08-04,23:02:53",demon_slayer_tanjiro_kamado,#0,بصح وين نقولو راني قبلت قوانين لميمز في الخاص ؟,cha_wew.#0,
"2024-08-04,23:03:33",demon_slayer_tanjiro_kamado,#0,وي راني صابر منا لغدوا يا و,,
"2024-08-04,23:03:42",cha_wew.,#0,حل تيكيت,,
"2024-08-04,23:03:56",cha_wew.,#0,في ticket,,
"2024-08-04,23:03:57",demon_slayer_tanjiro_kamado,#0,وش نو دا التيكيت ؟,cha_wew.#0,
"2024-08-04,23:04:11",demon_slayer_tanjiro_kamado,#0,ايه راني لقيته,,
