Date,Username,User tag,Content,Mentions,link
"2024-11-06,11:07:51",aaamethysttt,#0,A380?,djazairi.213#0,
"2024-11-06,11:08:02",m1k4eru,#0,at the end la khedma la houm ya7zanoun hdi aslan ida khdemti y3touk max kch 3 M,,
"2024-11-06,11:08:13",m1k4eru,#0,7bsi 9raya khtik khti,aaamethysttt#0,
"2024-11-06,11:08:19",aaamethysttt,#0,😭,m1k4eru#0,
"2024-11-06,11:08:30",m1k4eru,#0,diri pression lro7k fi batal,,
"2024-11-06,11:08:34",m1k4eru,#0,wch t9ray ?,,
"2024-11-06,11:08:40",m1k4eru,#0,nchlh machi lycée brk,,
"2024-11-06,11:08:46",djazairi.213,#0,a320,aaamethysttt#0,
"2024-11-06,11:08:47",m1k4eru,#0,,,
"2024-11-06,11:08:48",aaamethysttt,#0,2eme matheleme,m1k4eru#0,
"2024-11-06,11:08:51",aaamethysttt,#0,Lycee sahit,,
"2024-11-06,11:08:58",m1k4eru,#0,khla dar bouh,aaamethysttt#0,
"2024-11-06,11:09:00",m1k4eru,#0,,,
"2024-11-06,11:09:01",aaamethysttt,#0,"Niice
I love the neo",djazairi.213#0,
"2024-11-06,11:09:41",djazairi.213,#0,its a CEO,aaamethysttt#0,
"2024-11-06,11:09:46",m1k4eru,#0,khelo lkhedma o l9raya lrdjal,aaamethysttt#0,
"2024-11-06,11:10:03",yia06555,#0,lala kach mod nad sbah massabch croissant sekhoun kalak lazem inahilk role,m1k4eru#0,
"2024-11-06,11:10:18",m1k4eru,#0,maybe,yia06555#0,
"2024-11-06,11:10:29",yia06555,#0,3leh za3ma maditi specialité dyalk za3ma bach tzoukhi,aaamethysttt#0,
"2024-11-06,11:10:48",yia06555,#0,ha lhadra,m1k4eru#0,
"2024-11-06,11:10:49",nemouz,#0,Z3ma aura,,
"2024-11-06,11:10:57",m1k4eru,#0,nass tzoukh b mathelem mskina,yia06555#0,
"2024-11-06,11:11:00",aaamethysttt,#0,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,yia06555#0,
"2024-11-06,11:11:01",yia06555,#0,z3ma nymz,,
"2024-11-06,11:11:09",alectrona_666,#0,slm,,
"2024-11-06,11:11:11",nemouz,#0,Aura 3ora,,
"2024-11-06,11:11:13",aaamethysttt,#0,Mn 7a9i,,
"2024-11-06,11:11:24",yia06555,#0,downfall,m1k4eru#0,
"2024-11-06,11:11:29",yia06555,#0,fa9tlk,aaamethysttt#0,
"2024-11-06,11:11:30",nemouz,#0,Salam ana malika,alectrona_666#0,
"2024-11-06,11:11:37",yia06555,#0,rebi mayhabch swakhin,aaamethysttt#0,
"2024-11-06,11:11:51",alectrona_666,#0,ajit adawr 3ala al hob al 7a9i9i,nemouz#0,
"2024-11-06,11:12:08",alectrona_666,#0,و الراجل يلي يسطحقني,,
"2024-11-06,11:12:10",yia06555,#0,"مرحبا انا مليكة عمري 26 سنة 💃💃💃 بشتغل بالعقارات وبالترجمة عايشة باسطنبول وانا من المغرب 💃💃💃💃💃وجيت على هذه الززيرة منشان ادور عالحب الحقيقي والرجال الي يسطحقني💃💃💃💃
got you guys",,
"2024-11-06,11:12:24",alectrona_666,#0,LMAOOO,yia06555#0,
"2024-11-06,11:12:30",nemouz,#0,HHHHHHHHH,,
"2024-11-06,11:12:35",aaamethysttt,#0,"Eh lah rz9ni b hed l3fsa al hamduli'allah anyways w we r all humans 
Nta khir mni f haja ana khir mnk f haja khlaf",yia06555#0,
"2024-11-06,11:12:35",yia06555,#0,ana nadkhol fik b darb ida habiti,alectrona_666#0,
"2024-11-06,11:12:40",m1k4eru,#0,"fmnamek mara7ch tel9ayah , jiti t7wsi f discord",alectrona_666#0,
"2024-11-06,11:12:54",alectrona_666,#0,Alik l incels,,
"2024-11-06,11:13:03",alectrona_666,#0,Khra,,
"2024-11-06,11:13:15",alectrona_666,#0,ghi neymzo li funny f had chat,,
"2024-11-06,11:13:31",yia06555,#0,"lala okht samhili 
kayan efayas khir mais mathelem machi eafsa tae zoukh mais des preferences brq",aaamethysttt#0,
"2024-11-06,11:13:33",m1k4eru,#0,msaken bnat li ytkhaylo y3icho ki romeo et juliette hdik fl movie omknch,,
"2024-11-06,11:13:45",yia06555,#0,khti mat9olilich haka psq ana sensible bzzf,alectrona_666#0,
"2024-11-06,11:14:00",aaamethysttt,#0,"Eh sahit
Wch 9l9k nta?",yia06555#0,
"2024-11-06,11:14:16",yia06555,#0,jamais kont m9ala9 f hyati ana,aaamethysttt#0,
"2024-11-06,11:14:22",aaamethysttt,#0,Sahit,yia06555#0,
"2024-11-06,11:14:43",yia06555,#0,ay 17 yo teengers datha srx elablk,m1k4eru#0,
"2024-11-06,11:15:03",m1k4eru,#0,ywdi takhayolat li f risanhom skot brk,yia06555#0,
"2024-11-06,11:15:08",m1k4eru,#0,dok zawj salah o mknch,,
"2024-11-06,11:15:13",m1k4eru,#0,,,
"2024-11-06,11:15:19",m1k4eru,#0,khlas kmelna ga3,,
"2024-11-06,11:15:24",m1k4eru,#0,m93dnach,,
"2024-11-06,11:15:36",yia06555,#0,https://tenor.com/view/gauss-warframe-prime-speed-run-gif-5262691005362441267,,
"2024-11-06,11:15:39",yia06555,#0,harba,,
"2024-11-06,11:15:41",aaamethysttt,#0,"Wch tkhayelt?
Mnich mrkza m3a chat tho",m1k4eru#0,
"2024-11-06,11:16:05",m1k4eru,#0,"manich 3lik tkt , kyn li rahom yetkhaylo l7ob",aaamethysttt#0,
"2024-11-06,11:16:08",yia06555,#0,"ya okht ranna nharcho brq 
kona ngasro meak ki 9onalk tzoukhi",aaamethysttt#0,
"2024-11-06,11:16:13",yia06555,#0,kima ana,m1k4eru#0,
"2024-11-06,11:16:25",yia06555,#0,ntkhayal ana bzzf,,
