,bad_word,severity,,latin
0,مهبول,9,,mahboul
1,جايح,8.4453125,,jayeh
2,زبل,7.25,,zbel
3,خرية,5.5,,kharya
4,الله يلعنك,10,,allah yl3nek
5,بلع فمك,5,,bella3 
6,متخلف,8,,moutakhalif
7,بغل,8.4296875,,bghal
8,مسطاشة,7,,moustacha
9,حمارة,6.25,,hmara
10,عطايا,10,,3ataya
11,حيوان,8,,hayawan
12,وي السلعة,7,,wee sel3a
13,نقتلك,8.171875,,no9tlek
14,تافه,4.5,,tafeh
15,قود,5.515625,,9owwed
16,رخيس,7.890625,,rkhis
17,حمار,7.887695313,,hmar
18,تفو,6,,tfou
19,عاقر,10,,3a9er
20,بلعه,5,,bel3ah
21,مال ربك,10,,mal rebek
22,سمينة,7,,smina
23,خرا,5,,khra
24,مكروهة,,,mekrouha
25,نيك مك,9.75,,nik mok
26,قهوي,9,,9ahwi
27,كعبة,5,,ka3ba
28,بز,,,baz
29,كافي,7.875,,kavi
30,هايشة,5.5,,haycha
31,ساقطة,9,,sa9ita
32,معفون,5,,ma3foun
33,يا الزح,7,,ya zeh
34,متعرف والوا,5,,mate3ref walou
35,معقد,7,,m3a9ed
36,كلب,9.03125,,kelb
37,بغلة,5.5,,baghla
38,خماج,6.25,,khmaj
39,خامج,9,,khamej
40,ينعل والديك,9,,yen3al waldik
41,موسخ,6.25,,mwesekh
42,رخيص,7,,rkhis
43,قحبة,9.2265625,,9ahba
44,حابس,6.375,,habes
45,نحيلك سروال,6,,nahilek serwalek
46,نيك اختك,7,,nik khtek
47,زبي,9,,zbi
48,اخرجلي طابي,10,,okhrjli tapi
49,شماتة,7.5,,chmata
50,ڨليط,5.5,,guelit
51,بلعيه,8,,bel3ih
52,نت متفهمش,6,,nta matfhamch
53,نحرقك,9,,nahargk
54,مقطعة,9.5,,mguet3a
55,جايحة,3,,jayha
56,قودي,8,,9owdi
57,ليك غير القمع,9,,lik ghir l9om3
58,خامجة,6.5,,khamja
59,زرزومية,,,zerzoumia
60,طحان,7.5,,tahan
61,فرخ,6.625,,ferkh
62,مشحاح,5,,mjhah
63,نقش,9.3125,,na9ch
64,قحابجي,9,,9habji
65,فايحة,4,,fayha
66,عطاي,9.59375,,3atay
67,بومبا,6,,bomba
68,بلع,10,,bel3
69,ولد القحبة,5,,weld l9ahba
70,بهلول,5.75,,bahloul
71,منغولي,8,,mongol
72,ديوث,8,,dayouth 
73,كلبة,7,,kelba
74,حقير,4,,ha9ir
75,قليط,7.25,,gelit
76,نقطعك,9.5,,ngt3ak
77,نذبحك,8.5,,nedabhek
78,ينعل,10,,yen3al
79,حايرة,3,,hayra
80,دايرة كيزبي,10,,dayra ki zbi
81,نجي نتفاهم معاك,8,,nji netfahem m3ak
82,سوسيالة,9,,sociala
83,قاعك,,,9a3ek
84,تبنييط,,,tbanyit
85,نيكك,8,,nikek
86,كبول,8,,
87,ترمة,9,,terma
88,يا سي زبي,8,,ya si zbi
89,بوصبع,10,,bousba3
90,مونڨول,10,,mongol
91,الحبة,6,,lheba
92,مك,10,,mok
93,طويل بلا خصلة,3,,twil bla khosla
94,حركي,6,,harki
95,مجلخ,8,,mjelekh
96,مرنكة,5,,mrenka
97,قرد,10,,9erd
98,نعلدين بوك,10,,n3aldin bok
99,تموت على يدي,8,,tmout 3la yedi
100,نعدين باباك,9,,n3adin babak
101,عريضة,10,,3rida
102,مبعر,10,,mba3er
103,فرويتي,5.5,,fruiti
104,زواف,10,,zouwaf
105,تفاش,5,,tefach
106,قحب,10,,9hb
107,نڨعد عليك,8,,neg3od 3lik
108,ملقطة,9,,mlagta
109,نهردك,4,,nahardek
110,متسواش,10,,mateswach
